Target,Type,Alt,Az,Fit,Reach,Best,Verdict
"NGC 185 Dwarf Elliptical Galaxy NGC 185, NGC 147 Dwarf Elliptical Galaxy NGC 147",Galaxy,88.2°,177.4°,0.43,0.63,01:59 CEST,SKIP
"M108 Surfboard Galaxy, M97 Owl Nebula",Galaxy/Planetary Nebula,30.5°,39.0°,0.36,0.93,05:21 CEST,SKIP
NGC 891 Silver Sliver Galaxy,Galaxy,82.2°,171.9°,0.10,1.00,03:40 CEST,SKIP
IC 405 Flaming Star Nebula,Emission Nebula/Reflection Nebula,68.6°,130.3°,0.37,0.20,05:21 CEST,SKIP
NGC 7640 Spiral Galaxy NGC 7640,Galaxy,80.7°,171.6°,0.06,0.92,00:38 CEST,SKIP
★ T CrB T Coronae Borealis,Variable Star,39.6°,263.7°,0.00,1.00,21:16 CEST,SKIP
